"author","degree","community"
"Boxin Tang",14,1
"Rahul Mukerjee",8,1
"Derek Bingham",6,1
"Hongquan Xu",6,1
"Peter Z G Qian",6,1
"Randy R Sitter",6,1
"C Devon Lin",5,1
"David M Steinberg",5,1
"Dennis K J Lin",5,1
"Neil A Butler",5,1
"Ching-Shui Cheng",4,1
"Frederick K H Phoa",4,1
"John Stufken",4,1
"Hegang H Chen",3,1
"Shan Ba",3,1
"V Roshan Joseph",3,1
"David Dunson",50,2
"Alan E Gelfand",36,2
"Abel Rodriguez",22,2
"Gareth Roberts",22,2
"Hemant Ishwaran",19,2
"Michael I Jordan",18,2
"James O Berger",17,2
"Marc G Genton",17,2
"Peter Muller",17,2
"Gary L Rosner",16,2
"J Sunil Rao",16,2
"Omiros Papaspiliopoulos",16,2
"Andrew O Finley",15,2
"Mike West",15,2
"Steven N MacEachern",15,2
"Sudipto Banerjee",15,2
"Tilmann Gneiting",14,2
"Carlos M Carvalho",13,2
"James G Scott",12,2
"Ju-Hyun Park",12,2
"James R Robins",16,3
"Haibo Zhou",11,3
"Ian L Dryden",9,3
"Dylan S Small",8,3
"Huiling Le",7,3
"Paul R Rosenbaum",7,3
"Tapabrata Maiti",7,3
"Zhiqiang Tan",7,3
"Andrew T A Wood",6,3
"Hua Yun Chen",6,3
"Stijn Vansteelandt",6,3
"Andrea Rotnitzky",5,3
"Eric J Tchetgen",5,3
"Getulio J A Amaral",5,3
"Jeffrey H Silber",5,3
"Partha Lahiri",5,3
"Thomas R Ten Have",5,3
"Wei Yann Tsai",5,3
"Gauri Sankar Datta",4,3
"J N K Rao",4,3
"Marloes H Maathuis",13,4
"Jon A Wellner",11,4
"Sungkyu Jung",8,4
"Nilanjan Chatterjee",7,4
"Piet Groeneboom",6,4
"Alfred Kume",4,4
"Fadoua Balabdaoui",4,4
"Richard Samworth",4,4
"Lutz Dumbgen",3,4
"Mark van der Laan",3,4
"Michael G Hudgens",3,4
"Nicholas P Jewell",3,4
"Peter Spirtes",3,4
"Richard Scheines",3,4
"Tanya Henneman",3,4
"Iain M Johnstone",36,5
"Bernard W Silverman",23,5
"Subhashis Ghosal",13,5
"Felix Abramovich",9,5
"Aad van der Vaart",8,5
"Axel Munk",8,5
"Marc Raimondo",8,5
"Theofanis Sapatinas",8,5
"Anindya Roy",7,5
"Dominique Picard",7,5
"A C Davison",6,5
"Gerard Kerkyacharian",6,5
"Marianna Pensky",6,5
"Aad W van der Vaart",5,5
"J H van Zanten",5,5
"Merlise A Clyde",5,5
"D A S Fraser",4,5
"R de Jonge",4,5
"Chong Tu",3,5
"Domenico Marinucci",3,5
"Jonathan E Taylor",25,6
"Joseph G Ibrahim",25,6
"Hongtu Zhu",12,6
"Armin Schwartzman",8,6
"Stephan F Huckemann",8,6
"Heping Zhang",7,6
"Bradley S Peterson",6,6
"Stuart R Lipsitz",6,6
"Ming-Hui Chen",5,6
"Rabi Bhattacharya",5,6
"Vic Patrangenaru",5,6
"Ja-Yong Koo",4,6
"Peter T Kim",4,6
"Weili Lin",4,6
"Yimei Li",4,6
"Athanasia Petsa",3,6
"Guy P Nason",3,6
"Niansheng Tang",3,6
"T Tony Cai",58,7
"Larry Wasserman",43,7
"Jiashun Jin",37,7
"Christopher Genovese",35,7
"Bradley Efron",29,7
"Yoav Benjamini",28,7
"David L Donoho",26,7
"John D Storey",25,7
"Sanat K Sarkar",20,7
"Joseph P Romano",17,7
"David Siegmund",15,7
"Etienne Roquain",14,7
"Harrison H Zhou",13,7
"Helmut Finner",13,7
"Markus Roters",13,7
"Thorsten Dickhaus",13,7
"Peter L Bartlett",12,7
"Chunming Zhang",11,7
"Lawrence D Brown",11,7
"Michael Wolf",11,7
"Dan Yu Lin",34,8
"Donglin Zeng",32,8
"Xuming He",27,8
"Lu Tian",20,8
"L J Wei",19,8
"Jing Qin",18,8
"Michael R Kosorok",18,8
"Guosheng Yin",17,8
"Jason P Fine",17,8
"Tianxi Cai",17,8
"Zhezhen Jin",12,8
"Zhiliang Ying",11,8
"Jianwen Cai",9,8
"Jing Ning",8,8
"Kani Chen",8,8
"Yu Shen",8,8
"Bee Leng Lee",7,8
"Limin Peng",7,8
"Thomas H Scheike",7,8
"Yi Li",7,8
"Raymond J Carroll",80,9
"Naisyin Wang",33,9
"Xihong Lin",33,9
"Enno Mammen",18,9
"Wenyang Zhang",18,9
